7461, 1507556100
7458, 1507541700
7444, 1507484110
7437, 1507469746
7435, 1507455300
7426, 1507397721
7423, 1507383313
7414, 1507368917
7410, 1507311300
7391, 1507297665
7378, 1507282559
7364, 1507226146
7361, 1507210521
7360, 1507196120
7354, 1507138500
7347, 1507124136
7342, 1507109718
7331, 1507102102
7329, 1507059518
7327, 1507037738
7326, 1507023318
7323, 1506965706
7321, 1506951300
7317, 1506936780
7313, 1506879331
7309, 1506864921
7305, 1506850532
7303, 1506792900
7301, 1506778500
7296, 1506764656
7287, 1506706500
7276, 1506693822
7275, 1506677700
7267, 1506669734
7265, 1506620118
7262, 1506609591
7259, 1506605715
7258, 1506591816
7253, 1506533711
7251, 1506519995
7245, 1506504900
7243, 1506447331
7242, 1506432915
7241, 1506418500
7239, 1506360911
7238, 1506346511
7237, 1506332126
7236, 1506274526
7232, 1506260122
7223, 1506245727
7218, 1506188113
7217, 1506173741
7212, 1506159334
7207, 1506101700
7198, 1506087304
7195, 1506072910
7192, 1506015358
7190, 1506001312
7179, 1505986522
7178, 1505928984
7177, 1505914500
7175, 1505900137
7172, 1505843587
7168, 1505828123
7167, 1505814949
7166, 1505756121
7164, 1505742013
7163, 1505727309
7162, 1505669741
7161, 1505648100
7159, 1505643365
7158, 1505583328
7156, 1505568928
7155, 1505554503
7153, 1505496900
7151, 1505482514
7145, 1505475150
7144, 1505468115
7143, 1505410517
7135, 1505396147
7125, 1505381722
7119, 1505324121
7111, 1505309717
7110, 1505309462
7106, 1505295192
7102, 1505237700
7099, 1505223342
7095, 1505208900
7084, 1505151099
7080, 1505139482
7079, 1505136900
7068, 1505122500
7061, 1505064900
7059, 1505050591
7058, 1505036206
7056, 1504978559
7055, 1504964108
7053, 1504949594
7039, 1504892121
7027, 1504878628
7016, 1504865847
7013, 1504863314
7011, 1504805718
7007, 1504791322
7005, 1504776928
7001, 1504719214
7000, 1504704871
6996, 1504690502
6990, 1504632956
6988, 1504618506
6983, 1504604729
6961, 1504546533
6960, 1504534172
6959, 1504521669
6958, 1504452649
6957, 1504442250
6956, 1504431654
6954, 1504366808
6950, 1504355720
