Локальный идентификатор записи,Идентификатор владельца стены,Типы вложений,Ссылка,Ссылка на профиль,Дата
31836,7932218,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id7932218,2017-10-05
3268,213623141,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id213623141,2017-10-05
3266,213623141,nil,nil,https://vk.com/id213623141,2017-10-05
20096,-23801213,"photo, photo, photo, photo, photo, photo, photo, photo, photo, link, ",http://vk.com/sonyscifi?w=app6187992_-23801213,https://vk.com/id-23801213,2017-10-05
1302,194889649,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id194889649,2017-10-04
1405,156114138,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id156114138,2017-10-04
20050,-23801213,"link, ",https://vk.com/app5671337_-23801213,https://vk.com/id-23801213,2017-10-04
20040,-23801213,nil,nil,https://vk.com/id-23801213,2017-10-03
171931,-15106510,"photo, link, ",http://vk.com/sonyscifi?w=app6187992_-23801213,https://vk.com/id-15106510,2017-10-03
2,445470249,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id445470249,2017-10-02
8847,31178277,"link, ",http://www.absentiatv.ru/images/141,https://vk.com/id31178277,2017-10-02
19996,-23801213,"photo, ",nil,https://vk.com/id-23801213,2017-10-02
84,261957197,"link, ",http://www.absentiatv.ru/images/140,https://vk.com/id261957197,2017-10-02
19983,-23801213,nil,nil,https://vk.com/id-23801213,2017-10-02
1412,76770087,"link, ",http://www.absentiatv.ru/images/136,https://vk.com/id76770087,2017-10-02
4045,238709817,"link, ",http://www.absentiatv.ru/images/132,https://vk.com/id238709817,2017-10-02
19969,-23801213,"photo, ",nil,https://vk.com/id-23801213,2017-10-02
19958,-23801213,"photo, ",nil,https://vk.com/id-23801213,2017-10-02
2557,13396302,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id13396302,2017-10-01
177,360355354,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id360355354,2017-10-01
7636,6157631,"link, ",http://www.absentiatv.ru/images/95,https://vk.com/id6157631,2017-10-01
1695,86140374,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id86140374,2017-10-01
19906,-23801213,"photo, link, ",http://vk.com/sonyscifi?w=app6187992_-23801213,https://vk.com/id-23801213,2017-09-30
5817,38456022,"link, ",http://www.absentiatv.ru/images/81,https://vk.com/id38456022,2017-09-30
124,235713128,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id235713128,2017-09-29
2784,7250771,"link, ",http://www.absentiatv.ru/images/61,https://vk.com/id7250771,2017-09-29
36,443485708,"link, ",https://vk.com/photo-8187184_456252298,https://vk.com/id443485708,2017-09-29
262,154791112,"link, ",http://www.absentiatv.ru/images/51,https://vk.com/id154791112,2017-09-29
19880,-23801213,"photo, link, ",http://vk.com/sonyscifi?w=app6187992_-23801213,https://vk.com/id-23801213,2017-09-29
72,321127748,"link, ",http://www.absentiatv.ru/images/35,https://vk.com/id321127748,2017-09-29
19868,-23801213,"link, ",http://thr.ru/tv/na-kanale-sony-sci-fi-sostoitsa-mirovaa-premera-seriala-amnezia-so-stanoj-katik/,https://vk.com/id-23801213,2017-09-29
19862,-23801213,"photo, link, ",http://bit.ly/absentiatv,https://vk.com/id-23801213,2017-09-29
3,445030825,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id445030825,2017-09-28
2033,136038680,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id136038680,2017-09-28
505,370647024,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id370647024,2017-09-28
3951,273302665,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id273302665,2017-09-27
