Локальный идентификатор записи,Идентификатор владельца стены,Типы вложений,Ссылка,Ссылка на профиль,Дата,Участник группы,Город
81,407392871,"link, ",https://vk.com/app5671337_-23801213#312772,https://vk.com/id407392871,2017-11-14,Да,Омск
739,79162380,"link, ",https://vk.com/app5671337_-23801213#312772,https://vk.com/id79162380,2017-11-14,Да,Москва
2575,156191650,"link, ",https://vk.com/app5671337_-23801213#312772,https://vk.com/id156191650,2017-11-14,Да,Санкт-Петербург
780,164681952,"link, ",https://vk.com/app5671337_-23801213#312772,https://vk.com/id164681952,2017-11-14,Да,Старый Оскол
451800,-41260713,"photo, ",nil,https://vk.com/id-41260713,2017-11-14,,
1473,153245738,"link, ",https://vk.com/app5671337_-23801213#312772,https://vk.com/id153245738,2017-11-14,Да,Междуреченский
597,197344581,"link, ",https://vk.com/app5671337_-23801213#312772,https://vk.com/id197344581,2017-11-14,Нет,Кемерово
1024,299910928,nil,nil,https://vk.com/id299910928,2017-11-14,Да,Владивосток
586,218190374,"link, ",https://vk.com/app5671337_-23801213#312772,https://vk.com/id218190374,2017-11-14,Да,Норильск
47,128680585,"link, ",https://vk.com/app5671337_-23801213#312772,https://vk.com/id128680585,2017-11-14,Да,Москва
21043,-23801213,"photo, page, ",nil,https://vk.com/id-23801213,2017-11-14,,
21038,-23801213,"photo, ",nil,https://vk.com/id-23801213,2017-11-13,,
77,321127748,"link, ",https://vk.com/app5671337_-23801213#312772,https://vk.com/id321127748,2017-11-11,Да,Тбилиси
